url,ProductName,MarketerName,Uses,Features,Directions,Safety
https://www.1mg.com/otc/zandu-ultra-power-balm-for-pain-relief-from-strong-headache-bodyaches-cold-bone-joint-muscle-care-otc302046,"Zandu Ultra Power Balm / For Pain Relief from Strong Headache, Bodyaches and Cold / Bone, Joint and Muscle Care",Zandu Pharmaceutical Works Ltd,,"Composition in w/w: Mentha sp-Satva 17%, Gaultheria fragrantissima 25%, Syzygium aromaticum. 5.0%, Melaleuca leucadendron 5.0%, Trachyspermum ammi-Satva 0.5%, Eucalyptus globulus 0.2%, Myristica fragrans 0.1 %, Capsicum annuum-Satva 0.02%, Toney Red, Quinazarine green SS., Base qs., 8 ml, Balm",,
https://www.1mg.com/otc/moov-pain-relief-ointment-for-back-pain-joint-pain-knee-pain-muscle-pain-otc377375,"Moov Pain Relief Ointment for Back Pain, Joint Pain, Knee Pain, Muscle Pain",Reckitt Benckiser Healthcare Pvt. Ltd.,,"Ointment, 30g",,
https://www.1mg.com/otc/longlife-oct-007-ankle-support-xl-blue-otc490865,Longlife OCT 007 Ankle Support,Veridicus Health Care Pvt Ltd,It is used to provide optimal comfort and a great fit to help reduce ankle pain.,,Apply the anklet in a way it comes exactly in the right position on the heel and then wrap the elastic in such a way that it is comfortable to wear.,"Read the label carefully before use, Keep out of reach of children, Keep away from physical damage"
https://www.1mg.com/otc/volini-pain-relief-gel-for-sprain-muscle-joint-neck-low-back-pain-bone-joint-muscle-care-otc138818,Volini Pain Relief Gel,Sun Pharmaceutical Industries Ltd,,"Diclofenac Diethylamine Equivalent to Diclofenac Sodium 1% w/w, Methyl Salicylate IP, Menthol IP, Virgin Linseed Oil BP, Preservative, Benzyl Alcohol IP, Gel Base, The spray can offer relief when in pain and supports bone, muscle and joint care., It is effective for pain in the joints, knees, back, shoulders, and neck, It can work great on sports injuries such as muscle pulls, sprains, and strain, It provides instant and long-lasting pain relief from knee pain, joint pain, back pain, calf pain, and neck pain","The Volini pain relief bottle should be shaken well before spraying, Hold the spray bottle at a 5cm distance from the affected area and spray, You can use the spray about three to four times daily or as recommened by your physician","Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of reach of children, The Volini pain relief spray is meant for external application only, Use Volini per the doctor’s guidance, and be careful not to use more than the given dosage, Do not use the spray on open wounds or surfaces of the skin that are ruptured, The spray should not be ingested or come in contact with the eyes and mucous membranes, Avoid using the spray near a naked flame, Do not burn or make a hole in the bottle even after the spray is over"
https://www.1mg.com/otc/ortho-aid-natural-pain-relief-roll-on-otc873942,Ortho-Aid Natural Pain Relief Roll On,Leeford Healthcare Ltd,,"Gandhapura Leaves oil (Gaultheria fragrantissima), Lemon Grass (Cymbopogon citratus) Whole Plant Oil, Nilgiri Leaves Oil (Eucalyptus globulus), Lavang (syzygium aromaticum) flower bud OIl, Pudina (Mentha Viridis) Aerial Plant Crystal, Kapur crystal (Cinnamomum camphora) whole plant crystals, It helps to relieve different types of pain, It is beneficial for back pain, neck pain, shoulder pain and muscle pain, It helps to relieve pain, swelling and inflammation, It is non-greasy and non-staining","Just roll 3-5 times in circular motions on the affected area, such as the neck, shoulder, low back, etc after cleaning the skin surface gently. Repeat as necessary.","Store in a cool and dry place away from direct sunlight, Read the label carefully, For external use only, Avoid contact with eyes, Keep out of reach of children"
https://www.1mg.com/otc/dr-willmar-schwabe-india-bacopa-monnieri-dilution-1000-ch-otc397852,,Dr Willmar Schwabe India Pvt Ltd,,,,
https://www.1mg.com/otc/bjain-agaricus-muscarius-dilution-6x-otc429373,Bjain Agaricus Muscarius Dilution,Bjain Pharmaceuticals Pvt. Ltd.,,,Bjain Agaricus Muscarius Dilution should be taken 3-5 drops in 1 teaspoon of water three times a day or as directed by the physician.,
https://www.1mg.com/otc/dominion-care-relax-and-spin-tone-handheld-body-massager-otc492109,Dominion Care Relax and Spin Tone Handheld Body Massager,Kapil Plastic Mould,"It is a handheld massager with a unique oscillating feature and three interchangeable massage heads that help improve circulation, sculpts the body and removes dead skin cells and calluses.",,,
https://www.1mg.com/otc/sbl-mygale-dilution-6-ch-otc354822,,SBL Pvt Ltd,,,,
https://www.1mg.com/otc/renewa-knee-support-open-patella-neoprene-knee-cap-otc491899,Renewa Neoprene Open Patella Knee Support,Dr. Sayani's Health Care Pvt. Ltd.,It is primarily used to support and stabilize an injured knee.,,Use as per requirement or as directed by the physician.,"Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children, Avoid physical damage"
