url,ProductName,MarketerName,Uses,Features,Directions,Safety
https://www.1mg.com/otc/wellon-cervical-collar-hard-plain-cc03-small-otc387491,Wellon Cervical Collar Hard Plain,Mana Medical,,"The collar is made with strong PE sheet, It is covered with foam padding to provide comfort and cleaning, It allows for proper air circulation and ventilation, It has velcro closures for easy application and adjustments",Use as directed in the instructions manual.,"Read the label carefully before use, Store in a dry place, Keep out of reach of children"
https://www.1mg.com/otc/bahola-mag-phos-biochemic-tablet-6x-otc388776,,Bahola Labs,,,,
https://www.1mg.com/otc/karma-ayurveda-sandi-karma-yog-capsule-otc712544,,KRM Ayurveda Private Limited,,,,
https://www.1mg.com/otc/metaverse-herbals-klickey-pain-relief-oil-60-each-otc839562,Metaverse Herbals Klickey Pain Relief Oil,Grapevine Technologies Pvt. Ltd.,,"Kapur, Pudina, Alsi, Til, Nirgundi, It provides relief against joints pain and soreness, It helps reduce stiffness in joints and muscles, It helps improves body flexibility and mobility, It helps strengthen joints and muscles",Massage the oil gently 5ml to 10ml of oil with soft hands,"Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of reach of children"
https://www.1mg.com/otc/him-herbal-dr.-pain-ayurvedic-pain-relief-oil-otc892738,Him Herbal Dr. Pain Ayurvedic Pain Relief Oil,Pioneer Herbals,,"Alsi oil (linum usitatissimum linn) sd, Kapur (cinnamomum camphora) lf, Pudina sat (mentha viridis linn) ap, Turpentine oil (pinus roxburghii) wd, Gandhapura oil (gaultheria fragrantissima) lf, Nirgundi (vitex negundo) lf, Jyotishmati (celastrus paniculatus) sd, Ajwain phool (trachyspermum ammi linn) ft, The oil is also easy to use and can be applied directly to the affected area. Simply massage the oil into the skin until it is fully absorbed, and repeat as needed. This will help to soothe and provide targeted relief from pain, promoting healing and comfort, If you are looking for an effective, natural solution for pain relief, Him herbal Dr. Pain ayurvedic pain relief oil is an excellent choice. With its blend of natural ingredients and herbs, this oil promises to provide effective and long-lasting relief from various types of pain, promoting healing and comfort, It provides relief from joint and muscle pain, headaches, and back pain, It will help to soothe and provide targeted relief from pain, promoting healing and comfort","Simply massage the oil into the skin until it is fully absorbed, and repeat as needed.","Read the product label carefully before use, Keep out of reach of children"
https://www.1mg.com/otc/dr-willmar-schwabe-india-topi-mp-gel-otc327406,Dr Willmar Schwabe India Topi MP Gel,Dr Willmar Schwabe India Pvt Ltd,,"25 g, Gel",,
https://www.1mg.com/otc/tynor-d-42-knee-immobilizer-3-panel-universal-otc345630,Tynor D-42 Knee Immobilizer 3 Panel,Tynor Orthotics Pvt. Ltd.,"Provides support to knee joint and ligaments and provides effective relief from sprains and articular strains, damage of osteoarthritis and cartilage.",,Use a directed by the health-care professional.,"Read the label carefully before use, Keep out of reach of the children, Store in a cool dry place"
https://www.1mg.com/otc/samson-ab-0201-abdominal-belt-gold-large-grey-otc487985,Samson AB-0201 Abdominal Belt (Gold),Samson Scientifics & Surgicals,It is used to provide support to the abdominal area and also helps in dealing with back pain.,,Use as directed in the manual or as advised by the healthcare professional,"Read the label carefully before use, Keep out of reach of children, Keep away from physical damage"
https://www.1mg.com/otc/aruba-essentials-combo-pack-of-basil-oil-argan-oil-15ml-each-otc488103,,Kamatri Corporation Pvt Ltd,,,,
https://www.1mg.com/otc/dr-physio-usa-electric-hammer-pro-body-massager-grey-otc491646,,"Nureca Limited, India",,,,
